From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
Q8N983	Q8N983	RM43_HUMAN	39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial large ribosomal subunit protein mL43) (Mitochondrial ribosomal protein bMRP36a)	MRPL43	mitochondrial translation [GO:0032543]; translation [GO:0006412]
P13473	P13473	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2	autophagosome maturation [GO:0097352]; cellular response to starvation [GO:0009267]; chaperone-mediated autophagy [GO:0061684]; establishment of protein localization to organelle [GO:0072594]; lysosomal protein catabolic process [GO:1905146]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of protein-containing complex assembly [GO:0031333]; protein import [GO:0017038]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of protein stability [GO:0031647]
P43246	P43246	MSH2_HUMAN	DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2)	MSH2	B cell differentiation [GO:0030183]; B cell mediated immunity [GO:0019724]; determination of adult lifespan [GO:0008340]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; germ cell development [GO:0007281]; in utero embryonic development [GO:0001701]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; isotype switching [GO:0045190]; maintenance of DNA repeat elements [GO:0043570]; male gonad development [GO:0008584]; mismatch repair [GO:0006298]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; mitotic recombination [GO:0006312]; negative regulation of DNA recombination [GO:0045910]; negative regulation of neuron apoptotic process [GO:0043524]; oxidative phosphorylation [GO:0006119]; positive regulation of helicase activity [GO:0051096]; positive regulation of isotype switching to IgA isotypes [GO:0048298]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; postreplication repair [GO:0006301]; protein localization to chromatin [GO:0071168]; response to UV-B [GO:0010224]; response to X-ray [GO:0010165]; somatic hypermutation of immunoglobulin genes [GO:0016446]; somatic recombination of immunoglobulin gene segments [GO:0016447]; somatic recombination of immunoglobulin genes involved in immune response [GO:0002204]
P18846	P18846	ATF1_HUMAN	Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36)	ATF1	cAMP-mediated signaling [GO:0019933]; positive regulation of DNA replication [GO:0045740]; positive regulation of neuron projection development [GO:0010976]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-containing complex assembly [GO:0065003]; regulation of transcription by RNA polymerase II [GO:0006357]; response to cobalt ion [GO:0032025]; response to purine-containing compound [GO:0014074]
Q9NX14	Q9NX14	NDUBB_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)	NDUFB11 UNQ111/PRO1064	aerobic respiration [GO:0009060]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]
P60520	P60520	GBRL2_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (General protein transport factor p16) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16) (MAP1 light chain 3-related protein)	GABARAPL2 FLC3A GEF2	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cellular response to nitrogen starvation [GO:0006995]; intra-Golgi vesicle-mediated transport [GO:0006891]; macroautophagy [GO:0016236]; negative regulation of proteasomal protein catabolic process [GO:1901799]; positive regulation of ATP-dependent activity [GO:0032781]; protein localization to endoplasmic reticulum [GO:0070972]; protein transport [GO:0015031]
P63151	P63151	2ABA_HUMAN	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	PPP2R2A	protein dephosphorylation [GO:0006470]; response to morphine [GO:0043278]
O95758	O95758	PTBP3_HUMAN	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	PTBP3 ROD1	anatomical structure morphogenesis [GO:0009653]; erythrocyte maturation [GO:0043249]; mRNA processing [GO:0006397]; negative regulation of RNA splicing [GO:0033119]; regulation of cell differentiation [GO:0045595]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]
Q9NZB2	Q9NZB2	F120A_HUMAN	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	FAM120A C9orf10 KIAA0183 OSSA	
Q92616	Q92616	GCN1_HUMAN	eIF-2-alpha kinase activator GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1)	GCN1 GCN1L1 KIAA0219	cellular response to amino acid starvation [GO:0034198]; cellular response to leucine starvation [GO:1990253]; positive regulation of kinase activity [GO:0033674]; regulation of translation [GO:0006417]
P34949	P34949	MPI_HUMAN	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	MPI PMI1	GDP-mannose biosynthetic process [GO:0009298]; mannose to fructose-6-phosphate metabolic process [GO:0061611]
Q9UNN8	Q9UNN8	EPCR_HUMAN	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)	PROCR EPCR	blood coagulation [GO:0007596]; negative regulation of coagulation [GO:0050819]
P45954	P45954	ACDSB_HUMAN	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)	ACADSB	fatty acid metabolic process [GO:0006631]; isoleucine catabolic process [GO:0006550]
Q8TAT6	Q8TAT6	NPL4_HUMAN	Nuclear protein localization protein 4 homolog (Protein NPL4)	NPLOC4 KIAA1499 NPL4	Golgi organization [GO:0007030]; negative regulation of RIG-I signaling pathway [GO:0039536]; negative regulation of type I interferon production [GO:0032480]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q02880	Q02880	TOP2B_HUMAN	DNA topoisomerase 2-beta (EC 5.6.2.2) (DNA topoisomerase II, beta isozyme)	TOP2B	axonogenesis [GO:0007409]; B cell differentiation [GO:0030183]; DNA topological change [GO:0006265]; forebrain development [GO:0030900]; neuron migration [GO:0001764]; positive regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045870]; resolution of meiotic recombination intermediates [GO:0000712]; sister chromatid segregation [GO:0000819]
P35250	P35250	RFC2_HUMAN	Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40)	RFC2	DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; DNA-templated DNA replication [GO:0006261]; positive regulation of DNA-directed DNA polymerase activity [GO:1900264]
O94874	O94874	UFL1_HUMAN	E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1)	UFL1 KIAA0776 MAXER NLBP RCAD	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; erythrocyte differentiation [GO:0030218]; hematopoietic stem cell differentiation [GO:0060218]; histone modification [GO:0016570]; negative regulation of apoptotic process [GO:0043066]; negative regulation of IRE1-mediated unfolded protein response [GO:1903895]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein ubiquitination [GO:0031397]; osteoblast differentiation [GO:0001649]; positive regulation of autophagy [GO:0010508]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of glial cell proliferation [GO:0060252]; protein K69-linked ufmylation [GO:1990592]; protein ufmylation [GO:0071569]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of inflammatory response [GO:0050727]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; regulation of protein localization [GO:0032880]; response to endoplasmic reticulum stress [GO:0034976]; response to L-glutamate [GO:1902065]; reticulophagy [GO:0061709]
P48556	P48556	PSMD8_HUMAN	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31)	PSMD8	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q9UK45	Q9UK45	LSM7_HUMAN	U6 snRNA-associated Sm-like protein LSm7	LSM7	mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]
P28799	P28799	GRN_HUMAN	Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]	GRN	astrocyte activation involved in immune response [GO:0002265]; lysosomal lumen acidification [GO:0007042]; lysosomal transport [GO:0007041]; lysosome organization [GO:0007040]; microglial cell activation involved in immune response [GO:0002282]; negative regulation of microglial cell activation [GO:1903979]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of neutrophil activation [GO:1902564]; negative regulation of respiratory burst involved in inflammatory response [GO:0060266]; positive regulation of angiogenesis [GO:0045766]; positive regulation of aspartic-type peptidase activity [GO:1905247]; positive regulation of axon regeneration [GO:0048680]; positive regulation of cell migration [GO:0030335]; positive regulation of defense response to bacterium [GO:1900426]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of inflammatory response to wounding [GO:0106016]; positive regulation of lysosome organization [GO:1905673]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein folding [GO:1903334]; protein stabilization [GO:0050821]; regulation of inflammatory response [GO:0050727]; signal transduction [GO:0007165]
Q9UG63	Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2)	ABCF2 HUSSY-18	
Q8WVJ2	Q8WVJ2	NUDC2_HUMAN	NudC domain-containing protein 2	NUDCD2	protein folding [GO:0006457]
P05166	P05166	PCCB_HUMAN	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)	PCCB	branched-chain amino acid metabolic process [GO:0009081]; fatty acid metabolic process [GO:0006631]; short-chain fatty acid catabolic process [GO:0019626]
P62312	P62312	LSM6_HUMAN	U6 snRNA-associated Sm-like protein LSm6	LSM6	maturation of SSU-rRNA [GO:0030490]; mRNA catabolic process [GO:0006402]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; tRNA processing [GO:0008033]
Q12972	Q12972	PP1R8_HUMAN	Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8) [Includes: Activator of RNA decay (EC 3.1.4.-) (ARD-1)]	PPP1R8 ARD1 NIPP1	cell population proliferation [GO:0008283]; mRNA processing [GO:0006397]; negative regulation of protein dephosphorylation [GO:0035308]; RNA catabolic process [GO:0006401]; RNA splicing [GO:0008380]
Q8TDN6	Q8TDN6	BRX1_HUMAN	Ribosome biogenesis protein BRX1 homolog (Brix domain-containing protein 2)	BRIX1 BRIX BXDC2	ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]
Q92552	Q92552	RT27_HUMAN	28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27) (Mitochondrial small ribosomal subunit protein mS27)	MRPS27 KIAA0264	cell population proliferation [GO:0008283]; mitochondrial translation [GO:0032543]; positive regulation of mitochondrial translation [GO:0070131]
Q9Y3D6	Q9Y3D6	FIS1_HUMAN	Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	FIS1 TTC11 CGI-135	autophagy of mitochondrion [GO:0000422]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; mitochondrial fission [GO:0000266]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrial fusion [GO:0008053]; mitochondrion morphogenesis [GO:0070584]; negative regulation of ATP metabolic process [GO:1903579]; negative regulation of endoplasmic reticulum calcium ion concentration [GO:0032471]; negative regulation of fatty acid transport [GO:2000192]; peroxisome fission [GO:0016559]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of mitochondrial calcium ion concentration [GO:0051561]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of protein targeting to membrane [GO:0090314]; protein targeting to mitochondrion [GO:0006626]; regulation of mitochondrion organization [GO:0010821]; release of cytochrome c from mitochondria [GO:0001836]
O95182	O95182	NDUA7_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	NDUFA7	aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial translation [GO:0032543]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]
Q96PU8	Q96PU8	QKI_HUMAN	Protein quaking (Hqk) (HqkI)	QKI HKQ	long-chain fatty acid biosynthetic process [GO:0042759]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; myelination [GO:0042552]; positive regulation of gene expression [GO:0010628]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of translation [GO:0006417]; RNA splicing [GO:0008380]; spermatid development [GO:0007286]; vascular associated smooth muscle cell differentiation [GO:0035886]; vasculogenesis [GO:0001570]
Q14008	Q14008	CKAP5_HUMAN	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	CKAP5 KIAA0097	cell division [GO:0051301]; centrosome cycle [GO:0007098]; centrosome duplication [GO:0051298]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; microtubule depolymerization [GO:0007019]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]; positive regulation of microtubule nucleation [GO:0090063]; RNA transport [GO:0050658]; spindle organization [GO:0007051]
O43615	O43615	TIM44_HUMAN	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44 MIMT44 TIM44	intracellular protein transport [GO:0006886]; protein import into mitochondrial matrix [GO:0030150]; protein targeting to mitochondrion [GO:0006626]
Q9H307	Q9H307	PININ_HUMAN	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)	PNN DRS MEMA	cell adhesion [GO:0007155]; mRNA splicing, via spliceosome [GO:0000398]
Q13895	Q13895	BYST_HUMAN	Bystin	BYSL ENP1	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; regulation of protein localization to nucleolus [GO:1904749]; ribosome biogenesis [GO:0042254]; rRNA processing [GO:0006364]; stem cell proliferation [GO:0072089]; trophectodermal cell differentiation [GO:0001829]
Q96C36	Q96C36	P5CR2_HUMAN	Pyrroline-5-carboxylate reductase 2 (P5C reductase 2) (P5CR 2) (EC 1.5.1.2)	PYCR2	cellular response to oxidative stress [GO:0034599]; L-proline biosynthetic process [GO:0055129]; proline biosynthetic process [GO:0006561]
O75746	O75746	S2512_HUMAN	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial (Araceli hiperlarga) (Aralar) (Aralar1) (Mitochondrial aspartate glutamate carrier 1) (Solute carrier family 25 member 12)	SLC25A12 AGC1 ARALAR1	aspartate family amino acid metabolic process [GO:0009066]; aspartate transmembrane transport [GO:0015810]; gluconeogenesis [GO:0006094]; glutamate biosynthetic process [GO:0006537]; L-glutamate transmembrane transport [GO:0015813]; malate-aspartate shuttle [GO:0043490]; negative regulation of glucose catabolic process to lactate via pyruvate [GO:1904024]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of glucose metabolic process [GO:0010907]; positive regulation of myelination [GO:0031643]; response to calcium ion [GO:0051592]
Q53H12	Q53H12	AGK_HUMAN	Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)	AGK MULK	ceramide biosynthetic process [GO:0046513]; glycerolipid metabolic process [GO:0046486]; phosphorylation [GO:0016310]; protein insertion into mitochondrial inner membrane [GO:0045039]; sphingolipid metabolic process [GO:0006665]
Q27J81	Q27J81	INF2_HUMAN	Inverted formin-2 (HBEBP2-binding protein C)	INF2 C14orf151 C14orf173	actin cytoskeleton organization [GO:0030036]; regulation of mitochondrial fission [GO:0090140]; regulation of small GTPase mediated signal transduction [GO:0051056]
Q7KZ85	Q7KZ85	SPT6H_HUMAN	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	blastocyst formation [GO:0001825]; mRNA processing [GO:0006397]; mRNA transcription by RNA polymerase II [GO:0042789]; mRNA transport [GO:0051028]; negative regulation of histone H3-K27 methylation [GO:0061086]; nucleosome organization [GO:0034728]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; regulation of isotype switching [GO:0045191]; regulation of mRNA export from nucleus [GO:0010793]; regulation of mRNA processing [GO:0050684]; regulation of muscle cell differentiation [GO:0051147]; RNA splicing [GO:0008380]; transcription elongation by RNA polymerase II promoter [GO:0006368]
P11802	P11802	CDK4_HUMAN	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	CDK4	adipose tissue development [GO:0060612]; cell division [GO:0051301]; cellular response to insulin stimulus [GO:0032869]; cellular response to interleukin-4 [GO:0071353]; cellular response to ionomycin [GO:1904637]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to phorbol 13-acetate 12-myristate [GO:1904628]; G1/S transition of mitotic cell cycle [GO:0000082]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of gene expression [GO:0010468]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of lipid biosynthetic process [GO:0046890]; regulation of lipid catabolic process [GO:0050994]; regulation of multicellular organism growth [GO:0040014]; regulation of transcription initiation by RNA polymerase II [GO:0060260]; regulation of type B pancreatic cell proliferation [GO:0061469]; response to xenobiotic stimulus [GO:0009410]; signal transduction [GO:0007165]
P49589	P49589	SYCC_HUMAN	Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	CARS1 CARS	cysteinyl-tRNA aminoacylation [GO:0006423]
Q96AT9	Q96AT9	RPE_HUMAN	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase)	RPE HUSSY-17	carbohydrate metabolic process [GO:0005975]; cellular carbohydrate metabolic process [GO:0044262]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]
P53041	P53041	PPP5_HUMAN	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C PPP5	DNA-templated transcription [GO:0006351]; double-strand break repair [GO:0006302]; MAPK cascade [GO:0000165]; mitotic cell cycle [GO:0000278]; peptidyl-serine dephosphorylation [GO:0070262]; peptidyl-threonine dephosphorylation [GO:0035970]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; protein dephosphorylation [GO:0006470]; response to arachidonic acid [GO:1904550]; response to lead ion [GO:0010288]; response to morphine [GO:0043278]
Q9Y4Z0	Q9Y4Z0	LSM4_HUMAN	U6 snRNA-associated Sm-like protein LSm4 (Glycine-rich protein) (GRP)	LSM4	mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]; P-body assembly [GO:0033962]; RNA splicing [GO:0008380]; spliceosomal snRNP assembly [GO:0000387]
P13164	P13164	IFM1_HUMAN	Interferon-induced transmembrane protein 1 (Dispanin subfamily A member 2a) (DSPA2a) (Interferon-induced protein 17) (Interferon-inducible protein 9-27) (Leu-13 antigen) (CD antigen CD225)	IFITM1 CD225 IFI17	cell surface receptor signaling pathway [GO:0007166]; defense response to virus [GO:0051607]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of viral entry into host cell [GO:0046597]; negative regulation of viral genome replication [GO:0045071]; ossification [GO:0001503]; positive regulation of osteoblast differentiation [GO:0045669]; response to interferon-alpha [GO:0035455]; response to interferon-beta [GO:0035456]; response to interferon-gamma [GO:0034341]; response to virus [GO:0009615]; type I interferon signaling pathway [GO:0060337]
P52788	P52788	SPSY_HUMAN	Spermine synthase (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase)	SMS	methionine metabolic process [GO:0006555]; polyamine metabolic process [GO:0006595]; spermine biosynthetic process [GO:0006597]
Q8IX12	Q8IX12	CCAR1_HUMAN	Cell division cycle and apoptosis regulator protein 1 (Cell cycle and apoptosis regulatory protein 1) (CARP-1) (Death inducer with SAP domain)	CCAR1 CARP1 DIS	apoptotic process [GO:0006915]; cell cycle [GO:0007049]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; regulation of DNA-templated transcription [GO:0006355]
Q9Y3L3	Q9Y3L3	3BP1_HUMAN	SH3 domain-binding protein 1	SH3BP1	actin filament organization [GO:0007015]; cell junction assembly [GO:0034329]; cell migration [GO:0016477]; establishment of epithelial cell apical/basal polarity [GO:0045198]; filopodium assembly [GO:0046847]; negative regulation of small GTPase mediated signal transduction [GO:0051058]; phagocytosis, engulfment [GO:0006911]; positive regulation of GTPase activity [GO:0043547]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of actin filament depolymerization [GO:0030834]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of Rac protein signal transduction [GO:0035020]; regulation of small GTPase mediated signal transduction [GO:0051056]; ruffle assembly [GO:0097178]; semaphorin-plexin signaling pathway [GO:0071526]
O00267	O00267	SPT5H_HUMAN	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	negative regulation of DNA-templated transcription, elongation [GO:0032785]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of macroautophagy [GO:0016239]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription elongation by RNA polymerase II promoter [GO:0006368]
O43670	O43670	ZN207_HUMAN	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)	ZNF207 BUGZ	attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; microtubule bundle formation [GO:0001578]; microtubule polymerization [GO:0046785]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly [GO:0090307]; mitotic spindle assembly checkpoint signaling [GO:0007094]; protein stabilization [GO:0050821]; regulation of chromosome segregation [GO:0051983]
P25774	P25774	CATS_HUMAN	Cathepsin S (EC 3.4.22.27)	CTSS	adaptive immune response [GO:0002250]; antigen processing and presentation [GO:0019882]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; antigen processing and presentation of peptide antigen [GO:0048002]; basement membrane disassembly [GO:0034769]; cellular response to thyroid hormone stimulus [GO:0097067]; collagen catabolic process [GO:0030574]; extracellular matrix disassembly [GO:0022617]; immune response [GO:0006955]; positive regulation of cation channel activity [GO:2001259]; protein processing [GO:0016485]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; response to acidic pH [GO:0010447]; toll-like receptor signaling pathway [GO:0002224]
Q96EY4	Q96EY4	TMA16_HUMAN	Translation machinery-associated protein 16	TMA16 C4orf43	ribosomal large subunit biogenesis [GO:0042273]
Q9NXG2	Q9NXG2	THUM1_HUMAN	THUMP domain-containing protein 1	THUMPD1	tRNA modification [GO:0006400]
Q9BSV6	Q9BSV6	SEN34_HUMAN	tRNA-splicing endonuclease subunit Sen34 (EC 4.6.1.16) (Leukocyte receptor cluster member 5) (tRNA-intron endonuclease Sen34) (HsSen34)	TSEN34 LENG5 SEN34	mRNA processing [GO:0006397]; tRNA-type intron splice site recognition and cleavage [GO:0000379]
Q10471	Q10471	GALT2_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form]	GALNT2	O-glycan processing [GO:0016266]; protein maturation [GO:0051604]; protein O-linked glycosylation [GO:0006493]; protein O-linked glycosylation via serine [GO:0018242]; protein O-linked glycosylation via threonine [GO:0018243]
Q8NBT2	Q8NBT2	SPC24_HUMAN	Kinetochore protein Spc24 (hSpc24)	SPC24 SPBC24	attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; mitotic spindle assembly checkpoint signaling [GO:0007094]
Q7Z4V5	Q7Z4V5	HDGR2_HUMAN	Hepatoma-derived growth factor-related protein 2 (HDGF-related protein 2) (HRP-2) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL2 HDGF2 HDGFRP2 HRP2 UNQ785/PRO1604	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; muscle cell differentiation [GO:0042692]; muscle organ development [GO:0007517]; positive regulation of cell growth [GO:0030307]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; regulation of transcription by RNA polymerase II [GO:0006357]; skeletal muscle tissue regeneration [GO:0043403]
Q6P2E9	Q6P2E9	EDC4_HUMAN	Enhancer of mRNA-decapping protein 4 (Autoantigen Ge-1) (Autoantigen RCD-8) (Human enhancer of decapping large subunit) (Hedls)	EDC4 HEDLS	deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]
